"02-11-06", "UUMSEJ"
"02-11-07", "UUMSET"
"02-11-08", "UUMSEC"
"02-11-09", "UUMC--"
"02-11-10", "UUMR--"
"02-11-11", "UUMRG-"
"02-11-12", "UUMRS-"
"02-11-13", "UUMRSS"
"02-11-14", "UUMRX-"
"02-11-15", "UUMMO-"
"02-11-16", "UUMO--"
"02-11-17", "UUMT--"
"02-11-18", "UUMQ--"
"02-11-19", "UUMJ--"
"02-11-20", "UUM---"
"02-12-00", "UULS--"
"02-12-01", "UULM--"
"02-12-02", "UULC--"
"02-12-03", "UULF--"
"02-12-04", "UULD--"
"02-12-05", "UUL---"
"02-13-00", "UUSA--"
"02-13-01", "UUSC--"
"02-13-02", "UUSCL-"
"02-13-03", "UUSO--"
"02-13-04", "UUSF--"
"02-13-05", "UUSM--"
"02-13-06", "UUSMS-"
"02-13-07", "UUSML-"
"02-13-08", "UUSMN-"
"02-13-09", "UUSR--"
"02-13-10", "UUSRS-"
"02-13-11", "UUSRT-"
"02-13-12", "UUSRW-"
"02-13-13", "UUSS--"
"02-13-14", "UUSW--"
"02-13-15", "UUSX--"
"02-13-16", "UUS---"
"03-00-00", "EWMA--"
"03-00-01", "EWMAT-"
"03-00-02", "EWMAL-"
"03-00-03", "EWMAI-"
"03-00-04", "EWMAS-"
"03-00-05", "EWMS--"
"03-00-06", "EWMSL-"
"03-00-07", "EWMSI-"
"03-00-08", "EWMSS-"
"03-00-09", "EWMT--"
"03-00-10", "EWMTL-"
"03-00-11", "EWMTM-"
"03-00-12", "EWMTH-"
"03-00-13", "EWM---"
"03-01-00", "EWSL--"
"03-01-01", "EWSM--"
"03-01-02", "EWSH--"
"03-01-03", "EWS---"
"03-02-00", "EWXL--"
"03-02-01", "EWXM--"
"03-02-02", "EWXH--"
"03-02-03", "EWX---"
"03-03-00", "EWTL--"
"03-03-01", "EWTM--"
"03-03-02", "EWTH--"
"03-03-03", "EWT---"
"04-00-00", "EVAT--"
"04-00-01", "EVATL-"
"04-00-02", "EVATM-"
"04-00-03", "EVATH-"
"04-00-04", "EVATLR"
"04-00-05", "EVATMR"
"04-00-06", "EVATHR"
"04-00-07", "EVAA--"
"04-00-08", "EVAAR-"
"04-00-09", "EVAI--"
"04-00-10", "EVAC--"
"04-00-11", "EVAS--"
"04-00-12", "EVAL--"
"04-00-13", "EVA---"
"04-01-00", "EVUB--"
"04-01-01", "EVUS--"
"04-01-02", "EVUL--"
"04-01-03", "EVUX--"
"04-01-04", "EVUR--"
"04-01-05", "EVU---"
"04-02-00", "EVEB--"
"04-02-01", "EVEE--"
"04-02-02", "EVEC--"
"04-02-03", "EVEM--"
"04-02-04", "EVEA--"
"04-02-05", "EVEAA-"
"04-02-06", "EVEAT-"
"04-02-07", "EVEMV-"
"04-02-08", "EVEML-"
"04-02-09", "EVED--"
"04-02-10", "EVE---"
"04-04-00", "EVC---"
"05-00-00", "ESR---"
"05-01-00", "ESE---"
"06-00-00", "EXL---"
"06-01-00", "EXN---"
"06-02-00", "EXF---"
"06-03-00", "EXM---"
"06-04-00", "EXMC--"
"06-05-00", "EXML--"
"07-00-00", "IR----"
"07-01-00", "IP----"
"07-02-00", "IPD---"
"07-03-00", "IE----"
"07-04-00", "IU----"
"07-05-00", "IM----"
"07-06-00", "IG----"
"07-07-00", "IB----"
"07-08-00", "IBA---"
"07-09-00", "IBN---"
"07-10-00", "IT----"
"07-11-00", "IX----"
"07-12-00", "IXH---"
